iter	BalancedAccuracy	Logloss
0	0.8045454545	0.6870507244
1	0.8053030303	0.6835301619
2	0.8189393939	0.6796453083
3	0.8136363636	0.6753419121
4	0.8098484848	0.6720520577
5	0.796969697	0.6676674352
6	0.8075757576	0.6636542768
7	0.821969697	0.6601381394
8	0.8189393939	0.6562040941
9	0.8522727273	0.6508781353
10	0.8310606061	0.6470476141
11	0.8386363636	0.6418737169
12	0.846969697	0.6378818871
13	0.8462121212	0.6339671628
14	0.8553030303	0.6308471606
15	0.8636363636	0.6263582117
16	0.8507575758	0.621606108
17	0.8409090909	0.6168652187
18	0.8492424242	0.6145558735
19	0.8446969697	0.6105411593
20	0.8492424242	0.6057507904
21	0.8492424242	0.6033425517
22	0.8492424242	0.6007995653
23	0.8409090909	0.5972230643
24	0.8401515152	0.5944324194
25	0.8401515152	0.5908164673
26	0.85	0.5883584463
27	0.85	0.5849726944
28	0.85	0.5816890421
29	0.8507575758	0.5796468259
30	0.8507575758	0.575735522
31	0.85	0.5740395111
32	0.8454545455	0.5709868472
33	0.8454545455	0.5677420321
34	0.8545454545	0.5637097671
35	0.8545454545	0.5606846076
36	0.8492424242	0.5580331579
37	0.8537878788	0.5564179813
38	0.8537878788	0.5541996379
39	0.8583333333	0.5504982645
40	0.8583333333	0.5477732223
41	0.8545454545	0.5447298977
42	0.8545454545	0.5414545102
43	0.8545454545	0.5382829397
44	0.8545454545	0.5357186879
45	0.8545454545	0.5339261317
46	0.8545454545	0.5307230833
47	0.8545454545	0.5279310801
48	0.8545454545	0.5255943419
49	0.85	0.5237950638
50	0.85	0.5211423839
51	0.85	0.5188713246
52	0.85	0.515844587
53	0.8545454545	0.5136651303
54	0.8545454545	0.5114682624
55	0.8545454545	0.5092020912
56	0.8545454545	0.5078680319
57	0.8583333333	0.505786208
58	0.8583333333	0.5031237359
59	0.8583333333	0.5011449446
60	0.8583333333	0.4985195007
61	0.8583333333	0.4969827331
62	0.8583333333	0.4938224684
63	0.8583333333	0.4920588716
64	0.8628787879	0.4899357754
65	0.8583333333	0.4884588801
66	0.8583333333	0.4870057474
67	0.8583333333	0.4847894976
68	0.8583333333	0.482312416
69	0.8583333333	0.4807548875
70	0.8583333333	0.4791018002
71	0.8583333333	0.4781441644
72	0.8583333333	0.4761997481
73	0.8583333333	0.4746167411
74	0.8583333333	0.4734595234
75	0.8583333333	0.4715187843
76	0.8583333333	0.4708267791
77	0.8583333333	0.4694172852
78	0.8583333333	0.4675677529
79	0.8583333333	0.4653326892
80	0.8583333333	0.46385772
81	0.8583333333	0.4620626346
82	0.8583333333	0.460432971
83	0.8583333333	0.4594960594
84	0.8628787879	0.4580751293
85	0.8628787879	0.456841833
86	0.8628787879	0.4555104043
87	0.8628787879	0.4540386449
88	0.8583333333	0.4534039922
89	0.8583333333	0.4515169884
90	0.8583333333	0.4501133515
91	0.8628787879	0.4483652939
92	0.8628787879	0.4463102734
93	0.8628787879	0.4450156757
94	0.8628787879	0.4435735775
95	0.8628787879	0.4414231495
96	0.8628787879	0.4403987295
97	0.8674242424	0.4391235155
98	0.8674242424	0.437463942
99	0.8628787879	0.43645472
100	0.8628787879	0.4349330689
101	0.8583333333	0.4340296817
102	0.8583333333	0.4329999972
103	0.8628787879	0.4318403427
104	0.8628787879	0.4307396147
105	0.8674242424	0.4295874097
106	0.8628787879	0.4275601821
107	0.8628787879	0.4260869557
108	0.8628787879	0.4250887258
109	0.8628787879	0.4240730114
110	0.8628787879	0.4232414741
111	0.8674242424	0.4219038068
112	0.8674242424	0.4207366928
113	0.8674242424	0.4195513653
114	0.8674242424	0.4183482385
115	0.8674242424	0.4178669773
116	0.8674242424	0.4173269534
117	0.8583333333	0.4156378475
118	0.8583333333	0.4142305897
119	0.8583333333	0.4130982714
120	0.8674242424	0.41242658
121	0.8674242424	0.4119890829
122	0.8674242424	0.4110655519
123	0.8674242424	0.4098899117
124	0.8674242424	0.4094771604
125	0.871969697	0.408679032
126	0.871969697	0.4083518758
127	0.8674242424	0.4072578038
128	0.8674242424	0.4063342833
129	0.8674242424	0.4053970097
130	0.871969697	0.4042930059
131	0.8674242424	0.4037703894
132	0.8674242424	0.4028106957
133	0.8765151515	0.4016337648
134	0.871969697	0.3999939024
135	0.8765151515	0.3989728039
136	0.871969697	0.3984021659
137	0.871969697	0.3972980869
138	0.871969697	0.396762907
139	0.871969697	0.3962423443
140	0.871969697	0.3954120567
141	0.871969697	0.394438745
142	0.871969697	0.3937191263
143	0.871969697	0.3929252756
144	0.871969697	0.3924929779
145	0.871969697	0.3920984512
146	0.871969697	0.3914945623
147	0.871969697	0.3910019622
148	0.8765151515	0.3904966884
149	0.8765151515	0.3894883736
150	0.8765151515	0.3886112492
151	0.8765151515	0.3881570266
152	0.8765151515	0.3874511524
153	0.8765151515	0.3870934134
154	0.8765151515	0.3864175392
155	0.8765151515	0.3855288158
156	0.871969697	0.3846433896
157	0.8765151515	0.3839793144
158	0.8765151515	0.3829817833
159	0.8765151515	0.3827250748
160	0.871969697	0.3821942348
161	0.8765151515	0.3817158614
162	0.871969697	0.3811682637
163	0.871969697	0.3808547942
164	0.871969697	0.3803870401
165	0.8765151515	0.3798297399
166	0.8765151515	0.3790787134
167	0.8765151515	0.3783540655
168	0.871969697	0.37774544
169	0.8765151515	0.3773609189
170	0.8765151515	0.3768350174
171	0.8765151515	0.3765381286
172	0.8765151515	0.3762009758
173	0.8765151515	0.3756629859
174	0.8765151515	0.3747684048
175	0.871969697	0.3743069949
176	0.871969697	0.3736436431
177	0.8674242424	0.3727437091
178	0.8674242424	0.3723830403
179	0.8674242424	0.3718795544
180	0.8674242424	0.3707952211
181	0.8674242424	0.3701014988
182	0.8674242424	0.3692998739
183	0.8674242424	0.3688952307
184	0.8674242424	0.3685098486
185	0.8674242424	0.3679954235
186	0.8674242424	0.3672377307
187	0.8674242424	0.3666936597
188	0.8674242424	0.3663155912
189	0.8674242424	0.3657219671
190	0.871969697	0.3652294396
191	0.8674242424	0.3647958525
192	0.871969697	0.3640945462
193	0.8674242424	0.3635540044
194	0.8674242424	0.3632353687
195	0.8674242424	0.3628701627
196	0.8674242424	0.3620159409
197	0.8674242424	0.3614952443
198	0.871969697	0.3610018537
199	0.871969697	0.3605305697
200	0.871969697	0.3602158426
201	0.871969697	0.3597430666
202	0.871969697	0.3590497634
203	0.871969697	0.3586134298
204	0.871969697	0.3579964512
205	0.871969697	0.3576300989
206	0.871969697	0.3569899356
207	0.871969697	0.355989393
208	0.871969697	0.355526709
209	0.871969697	0.3552737817
210	0.871969697	0.3547048926
211	0.871969697	0.3543505574
212	0.871969697	0.3534916525
213	0.871969697	0.3530053818
214	0.8765151515	0.3525390536
215	0.8765151515	0.3522361383
216	0.8765151515	0.3518520557
217	0.8765151515	0.351424626
218	0.871969697	0.3510669867
219	0.8765151515	0.3506010332
220	0.8765151515	0.3500645793
221	0.8765151515	0.3493666436
222	0.8765151515	0.3484720171
223	0.8765151515	0.3480383937
224	0.8765151515	0.3477038943
225	0.8765151515	0.347230008
226	0.8810606061	0.3464323318
227	0.8810606061	0.346079047
228	0.8810606061	0.34560826
229	0.8810606061	0.3451333578
230	0.8810606061	0.3448863894
231	0.8810606061	0.3447466903
232	0.8810606061	0.3444030128
233	0.8810606061	0.3442882704
234	0.8810606061	0.3439662474
235	0.8810606061	0.3435541929
236	0.8810606061	0.3432185729
237	0.8765151515	0.3429467883
238	0.8810606061	0.3427224918
239	0.8765151515	0.3424678196
240	0.8765151515	0.3420937235
241	0.8765151515	0.3416374737
242	0.8765151515	0.3412542324
243	0.8765151515	0.3406531678
244	0.8765151515	0.3403189371
245	0.8765151515	0.3402098273
246	0.8765151515	0.3399829694
247	0.8810606061	0.3396975937
248	0.8810606061	0.3393483283
249	0.8810606061	0.3391294458
250	0.8810606061	0.3388756052
251	0.8765151515	0.3382018732
252	0.8810606061	0.3380583732
253	0.8810606061	0.3376443378
254	0.8810606061	0.3374748967
255	0.8810606061	0.3371739079
256	0.8810606061	0.3368975731
257	0.8810606061	0.3361775973
258	0.8810606061	0.3360569386
259	0.8810606061	0.3357572118
260	0.8810606061	0.3354476016
261	0.8810606061	0.335284945
262	0.8810606061	0.3351769123
263	0.8810606061	0.3348964773
264	0.8810606061	0.3345725207
265	0.8810606061	0.3343281776
266	0.8810606061	0.334086133
267	0.8810606061	0.3337157506
268	0.8810606061	0.3332124463
269	0.8810606061	0.3329117708
270	0.8810606061	0.3321840165
271	0.8810606061	0.3319346398
272	0.8810606061	0.3313386622
273	0.8810606061	0.3309154398
274	0.8810606061	0.3304225907
275	0.8810606061	0.3301739577
276	0.8810606061	0.3297911109
277	0.8810606061	0.3296791455
278	0.8810606061	0.3293450239
279	0.8810606061	0.3290776735
280	0.8810606061	0.3286262948
281	0.8810606061	0.32835845
282	0.8810606061	0.3279573351
283	0.8810606061	0.3274056101
284	0.8810606061	0.3270279113
285	0.8810606061	0.3266664289
286	0.8810606061	0.3265762069
287	0.8810606061	0.3263158152
288	0.8810606061	0.3260472451
289	0.8810606061	0.3259255605
290	0.8810606061	0.3257707896
291	0.8810606061	0.3253153271
292	0.8810606061	0.3250721203
293	0.8810606061	0.3245718527
294	0.8810606061	0.3243876992
295	0.8810606061	0.3241498885
296	0.8810606061	0.3239418774
297	0.8810606061	0.3237772918
298	0.8810606061	0.3234048246
299	0.8810606061	0.3231113248
300	0.8810606061	0.3230567337
301	0.8810606061	0.3228931146
302	0.8810606061	0.3227626709
303	0.8810606061	0.3225645742
304	0.8810606061	0.3223553751
305	0.8810606061	0.3221863154
306	0.8810606061	0.3218865091
307	0.8848484848	0.3214522916
308	0.8848484848	0.3212754341
309	0.8848484848	0.3210350749
310	0.8848484848	0.3209241184
311	0.8848484848	0.3206699028
312	0.8848484848	0.3205228876
313	0.8848484848	0.3203427063
314	0.8848484848	0.3202544023
315	0.8848484848	0.3198088722
316	0.8848484848	0.3194047255
317	0.8848484848	0.3193039196
318	0.8848484848	0.3191344153
319	0.8848484848	0.3188913765
320	0.8848484848	0.3186388288
321	0.8848484848	0.3183036846
322	0.8848484848	0.3180282756
323	0.8848484848	0.3176263084
324	0.8848484848	0.3174374262
325	0.8848484848	0.316758418
326	0.8848484848	0.3164410272
327	0.8848484848	0.3162212793
328	0.8848484848	0.3160464865
329	0.8848484848	0.3158244369
330	0.8848484848	0.3156719939
331	0.8848484848	0.315430514
332	0.8848484848	0.3153044528
333	0.8848484848	0.3151475917
334	0.8848484848	0.3145794321
335	0.8848484848	0.314405906
336	0.8848484848	0.3140660421
337	0.8848484848	0.3138177321
338	0.8848484848	0.3135061403
339	0.8848484848	0.3133694096
340	0.8848484848	0.3132799808
341	0.8848484848	0.3130964533
342	0.8848484848	0.312618084
343	0.8848484848	0.3122957383
344	0.8848484848	0.3120169071
345	0.8848484848	0.3117674633
346	0.8848484848	0.3115595665
347	0.8848484848	0.3114249068
348	0.8848484848	0.3113324994
349	0.8848484848	0.3112387541
350	0.8848484848	0.3111003532
351	0.8848484848	0.3110414736
352	0.8848484848	0.3108867124
353	0.8848484848	0.3106590615
354	0.8848484848	0.310564725
355	0.8848484848	0.3104450651
356	0.8893939394	0.3098642137
357	0.8893939394	0.3096264101
358	0.8893939394	0.3090930124
359	0.8893939394	0.3087765412
360	0.8893939394	0.3086531255
361	0.8893939394	0.3085126556
362	0.8893939394	0.3084124542
363	0.8893939394	0.3082765732
364	0.8893939394	0.3079014504
365	0.8893939394	0.3075646161
366	0.8893939394	0.3073570836
367	0.8893939394	0.3071682029
368	0.8893939394	0.3068595963
369	0.8893939394	0.3068064507
370	0.8893939394	0.3065216362
371	0.8893939394	0.3064160205
372	0.8893939394	0.3060322183
373	0.8893939394	0.3059487699
374	0.8893939394	0.305896316
375	0.8893939394	0.3056974014
376	0.8893939394	0.3055261175
377	0.8893939394	0.3049988009
378	0.8893939394	0.3049020799
379	0.8893939394	0.3046820451
380	0.8893939394	0.3045630659
381	0.8893939394	0.3044122194
382	0.8893939394	0.3041300916
383	0.8893939394	0.3040560587
384	0.8893939394	0.3038358537
385	0.8893939394	0.3035339952
386	0.8893939394	0.3034038263
387	0.8893939394	0.3032287329
388	0.8893939394	0.3030545681
389	0.8893939394	0.3029250204
390	0.8893939394	0.3028442374
391	0.8893939394	0.3026669079
392	0.8893939394	0.3022875106
393	0.8893939394	0.3020913556
394	0.8893939394	0.3019367851
395	0.8893939394	0.3017613959
396	0.8893939394	0.3017222618
397	0.8931818182	0.3016588662
398	0.8931818182	0.3014465558
399	0.8931818182	0.3011628433
400	0.8893939394	0.3010263114
401	0.8893939394	0.30095081
402	0.8893939394	0.300835722
403	0.8893939394	0.3005781401
404	0.8893939394	0.300352748
405	0.8893939394	0.3002578809
406	0.8893939394	0.3000869264
407	0.8931818182	0.2998671314
408	0.8893939394	0.299770787
409	0.8893939394	0.2994529777
410	0.8893939394	0.2991215359
411	0.8893939394	0.2990355755
412	0.8893939394	0.2989035096
413	0.8893939394	0.2988287559
414	0.8893939394	0.2985654164
415	0.8893939394	0.2983909232
416	0.8893939394	0.2983290406
417	0.8893939394	0.2981609355
418	0.8893939394	0.2980596312
419	0.8893939394	0.2979449996
420	0.8893939394	0.2977593753
421	0.8893939394	0.2976082651
422	0.8893939394	0.2975285746
423	0.8931818182	0.2971074103
424	0.8931818182	0.2969118851
425	0.8931818182	0.2967322554
426	0.8931818182	0.2965337385
427	0.8931818182	0.2962315889
428	0.8931818182	0.2959450681
429	0.8931818182	0.295851856
430	0.8931818182	0.2956577385
431	0.8931818182	0.2955459636
432	0.8931818182	0.2953783326
433	0.8931818182	0.2951817747
434	0.8977272727	0.2948058764
435	0.8977272727	0.2946433779
436	0.8977272727	0.2943485357
437	0.8931818182	0.2942132211
438	0.8931818182	0.2940623374
439	0.8977272727	0.2937698703
440	0.8977272727	0.293616971
441	0.8977272727	0.2931736463
442	0.8977272727	0.2929786201
443	0.8977272727	0.2927367751
444	0.8977272727	0.2922294488
445	0.8977272727	0.2921121816
446	0.8977272727	0.2917721066
447	0.8977272727	0.2916694163
448	0.8977272727	0.2916057832
449	0.8977272727	0.2915144031
